run,run_label,split,fold,metric,n_rows,n_valid_pairs,n_valid_dates,mean_ic,median_ic,min_ic,max_ic
jo.base,base,train,10,blend,88226,87110,1405,0.341904390055,0.367856340742,-0.222177450947,0.772363253942
jo.base,base,train,10,h6,88226,87482,1411,0.245983270947,0.259953161593,-0.284732190073,0.666641484727
jo.base,base,train,10,h9,88226,87110,1405,0.369019636626,0.402936214147,-0.267507743446,0.781471128906
jo.base,base,train,11,blend,89731,88633,1453,0.252480571023,0.265400024379,-0.22239852105,0.697687344196
jo.base,base,train,11,h6,89731,88999,1459,0.205111567226,0.213484928609,-0.351516433662,0.678847170809
jo.base,base,train,11,h9,89731,88633,1453,0.243756466052,0.249540557166,-0.267442322261,0.664974418017
jo.base,base,train,12,blend,89731,88633,1453,0.342561625259,0.365182212245,-0.29252168558,0.733789934293
jo.base,base,train,12,h6,89731,88999,1459,0.279975708317,0.291909042834,-0.304124801692,0.709042834479
jo.base,base,train,12,h9,89731,88633,1453,0.348853354336,0.373611845584,-0.308408249603,0.775356953993
jo.base,base,train,13,blend,89649,88515,1405,0.165251016507,0.167672865343,-0.24162225917,0.62265962841
jo.base,base,train,13,h6,89649,88893,1411,0.161589664973,0.177534536976,-0.295456182807,0.57564956533
jo.base,base,train,13,h9,89649,88515,1405,0.0786050032197,0.0722712271696,-0.324550150865,0.571198815277
jo.base,base,train,14,blend,91072,89920,1405,0.25398782697,0.262125808912,-0.328670209273,0.769942305638
jo.base,base,train,14,h6,91072,90304,1411,0.241626683357,0.252380952381,-0.216025641026,0.68956043956
jo.base,base,train,14,h9,91072,89920,1405,0.128321275403,0.131822344322,-0.378571428571,0.539148351648
jo.base,base,train,15,blend,91072,89920,1405,0.23858160053,0.255226103561,-0.414722383943,0.589444766313
jo.base,base,train,15,h6,91072,90304,1411,0.221656743242,0.232371794872,-0.322893772894,0.599755033865
jo.base,base,train,15,h9,91072,89920,1405,0.186070146267,0.195224140504,-0.398241738141,0.515878652493
jo.base,base,train,16,blend,91072,89920,1405,0.277907416634,0.282377993737,-0.229663210011,0.678802460064
jo.base,base,train,16,h6,91072,90304,1411,0.239042595722,0.244505494505,-0.223397435897,0.639468864469
jo.base,base,train,16,h9,91072,89920,1405,0.273030353395,0.274542124542,-0.229761904762,0.732188644689
jo.base,base,train,17,blend,88226,87110,1405,0.282022417301,0.293162073615,-0.26098126539,0.665164014421
jo.base,base,train,17,h6,88226,87482,1411,0.209193596275,0.214588816422,-0.26703937364,0.609768690532
jo.base,base,train,17,h9,88226,87110,1405,0.303917625544,0.33711062426,-0.274659414268,0.684822845056
jo.base,base,train,18,blend,88226,87110,1405,0.327940468247,0.351987108014,-0.274050569937,0.735645212133
jo.base,base,train,18,h6,88226,87482,1411,0.290491697625,0.309863765707,-0.25491677369,0.755785550603
jo.base,base,train,18,h9,88226,87110,1405,0.316715296487,0.343053561985,-0.252801490771,0.708040593286
jo.base,base,train,19,blend,89649,88515,1405,0.264518027216,0.291400111571,-0.390715760615,0.674403814144
jo.base,base,train,19,h6,89649,88893,1411,0.257209147995,0.284994239631,-0.379704301075,0.696524577573
jo.base,base,train,19,h9,89649,88515,1405,0.186803050057,0.194124423963,-0.359158986175,0.603638632873
jo.base,base,train,20,blend,91072,89920,1405,0.37459507356,0.411314880655,-0.303434860257,0.771411241506
jo.base,base,train,20,h6,91072,90304,1411,0.311588954395,0.336492673993,-0.304990842491,0.787820512821
jo.base,base,train,20,h9,91072,89920,1405,0.387127084067,0.425366300366,-0.299038461538,0.761950549451
jo.base,base,train,21,blend,91202,90086,1453,0.348594953676,0.386944041752,-0.271283763567,0.755389344354
jo.base,base,train,21,h6,91202,90458,1459,0.233376843375,0.256629145577,-0.330361864471,0.626199289869
